"0,1017","0,1063"
"0,1851","0,3444"
"0,3761","0,4739"
"0,5246","0,6224"
"0,6588","0,6941"
"0,7110","0,7642"
"0,8006","0,9619"
"1,0069","1,1119"
"1,1406","1,1810"
"1,2240","1,3188"
"1,3536","1,3853"
"1,4391","1,4867"
"1,5318","1,5712"
"1,6173","1,6813"
"1,7217","1,7668"
"1,8108","1,9184"
"1,9742","2,0049"
"2,0735","2,1483"
"2,2015","2,2409"
"3,0074","3,0448"
"3,1063","3,1211"
"3,1324","3,1365"
"3,3044","3,3111"
"3,3449","3,3669"
"3,4288","3,4375"
"3,5471","3,5835"
"3,6480","3,6598"
"3,9854","4,0223"
"4,1513","4,1559"
"4,2875","4,3484"
"4,4058","4,4427"
"4,5369","4,5625"
"4,6511","4,7396"
"4,7944","4,8292"
"4,8912","4,8958"
"4,9992","5,0105"
"5,0801","5,1022"
"5,1728","5,2056"
"5,2798","5,3039"
"5,3612","5,3822"
"5,4421","5,5174"
"5,5609","5,6034"
"5,6557","5,6746"
"5,7371","5,7816"
"5,8231","5,8431"
"5,9071","5,9373"
