0.513546534,0.546376318
0.68090887,0.706532568
1.138154018,1.162176153
1.363172604,1.414421301
1.486492916,1.507311926
1.592196041,1.616218176
1.668269314,1.786783637
1.847644314,1.930924262
1.994988064,2.091080512
2.1751629,2.27926316
2.338522275,2.44582566
2.483462736,2.593969246
2.629204923,2.742914559
2.770142423,2.891859871
2.933501798,3.033597207
3.073637571,3.174534707
3.220981321,3.326683144
3.373929594,3.497248605
3.530882719,3.66701423
3.725471618,3.783126566
3.965705993,4.021759378
4.077013641,4.115449839
4.171505828,4.280410776
4.507032227,4.543067026
4.609532227,4.665585612
4.737657227,4.772890299
4.92263675,4.953065135
5.02513675,5.05876826
5.126035187,5.15486201
5.202910187,5.331833721
5.456756898,5.592888408
5.59288971,5.777068096
5.814705171,5.885172619
5.958845796,6.06775074
