0.515968,0.528256
0.545664,0.570240
0.617856,0.640896
0.752512,0.839552
0.910208,0.962944
1.010560,1.078144
1.160064,1.183104
1.231232,1.257856
1.279360,1.283456
1.329536,1.430400
1.492352,1.501056
1.519488,1.591168
1.617280,1.693056
1.780096,1.800064
1.892224,1.962368
1.979264,1.989504
2.018688,2.109312
2.143104,2.150784
2.163072,2.184064
2.332544,2.352000
2.364288,2.397568
2.439552,2.462592
2.553728,2.587008
2.607488,2.650496
2.708352,2.717056
2.765184,2.772352
2.824064,2.830720
2.880896,2.884992
2.897280,2.932096
2.951040,2.995072
3.136896,3.140480
3.220352,3.240320
3.304320,3.420032
3.471232,3.583360
3.651968,3.704192
3.752320,3.755904
3.768704,3.862912
3.878784,3.881344
3.947904,4.096384
4.158848,4.188032
4.265856,4.283776
4.367744,4.372864
4.465024,4.487040
4.579200,4.611968
4.709248,4.737408
4.837760,4.906880
